Index,Year,Export_of_natural_gas_of_the_Russian_Federation_in_the_t_th_year_in_billion_cubic_meters,World_natural_gas_production_in_the_t_th_year_in_billion_cubic_meters,The_world_price_of_natural_gas_in_the_t_th_year_in_dollars_billion_cubic_meters,World_oil_production_in_the_t_th_year_in_billion_cubic_meters,World_exports_of_shale_gas_in_the_t_th_year_million_cubic_meters,World_proven_reserves_of_natural_gas_in_the_t_th_year_in_billion_cubic_meters,Worl_demand_for_natural_gas_in_the_t_th_year_in_billion_cubic_meters,Employment_in_the_gas_segment_in_million_in_the_t_th_year,World_LNG_prices_in_the_t_th_year_in_dollars_billion_cubic_meters,Investments_in_the_gas_segment_in_t_th_year_in_billion_dollar,World_oil_prices_in_the_t_th_year_in_billion_dollars_barrel,World_production_of_shale_gas_in_the_t_th_year_in_billion_cubic_meters
1,2010,175.6,3132.3,301800,4000,3289,157529,3195,4.1,251800,810,331800,151
2,2011,185.4,3125.6,383000,4150,3330,161005,3221,4.5,273000,850,353000,226
3,2012,179.9,3279.1,385000,4188,3407,162841,3387,3.9,285000,1010,360000,293
4,2013,196.6,3476.8,380500,4220,3459,169369,3443,2.9,295000,1050,325000,323
5,2014,174.3,3512.2,394400,4280,3467,174483,3499,2.4,300100,1150,311100,334
6,2015,183.6,3599.4,245600,4349,3461,179765,3546,0.1,275600,940,297600,358
7,2016,200.2,3643.8,176000,4402,3783,183876,3697,1.1,245000,870,305000,361
8,2017,210.1,3879.7,192800,4434,3798,189321,3779,1.9,232800,860,312800,378
9,2018,220.6,4003.6,207500,4500,3876,197259,3989,2.1,217500,850,297500,382
10,2019,247.7,3911.2,199500,4532,3932,198345,4012,1.9,200500,820,283500,404
